Name,Type,Score
amd ryzen 9 7950x,desktop,1.0
amd ryzen 9 7950x3d,desktop,0.96544314167909
amd ryzen 9 7900x,desktop,0.7686785661522758
amd ryzen 9 5950x,desktop,0.6756181420148543
amd ryzen 9 3950x,desktop,0.5829472044267161
amd ryzen 9 5900x,desktop,0.5516942664893831
amd ryzen 7 7700x,desktop,0.4993553326080825
amd ryzen 7 7800x3d,desktop,0.4807674228077951
amd ryzen 9 3900xt,desktop,0.45174395960084346
amd ryzen 9 3900x,desktop,0.44943390144647244
amd ryzen 5 7600x,desktop,0.3814617833111729
amd ryzen 7 7840hs,laptop,0.376700646010449
amd ryzen 7 5800x3d,desktop,0.3671515102676713
amd ryzen 5 7600,desktop,0.3643310904280323
amd ryzen 7 5800x,desktop,0.36116819103643716
amd ryzen 7 5700x,desktop,0.35991243267926454
intel core i9-10900k @ 3.70ghz,desktop,0.32820957062465583
intel core i9-11900k @ 3.50ghz,desktop,0.32393193386787006
intel core i9-10850k @ 3.60ghz,desktop,0.3224948628067207
intel core i7-11700k @ 3.60ghz,desktop,0.3155176813462804
intel core i7-11800h @ 2.30ghz,laptop,0.30077091475616796
amd ryzen 7 5700g,desktop,0.29689619511933063
amd ryzen 7 3800x,desktop,0.2938810320050499
amd ryzen 7 3700x,desktop,0.2888109915790322
amd ryzen 5 5600x,desktop,0.27990652322817194
amd ryzen 5 5600,desktop,0.2766361792712572
intel core i7-11700f @ 2.50ghz,desktop,0.2724189800824637
amd ryzen 7 6800h,laptop,0.2711027841572988
amd ryzen 9 5900hx,laptop,0.26869199672294075
intel core i7-10700k @ 3.80ghz,desktop,0.26255422592905975
intel core i7-10700kf @ 3.80ghz,desktop,0.2599822716467223
apple ipad pro 11.0 4th gen (cellular),ios,0.25476449494339015
amd ryzen 7 5800h,laptop,0.2546301892367407
intel core i9-9900kf @ 3.60ghz,desktop,0.2534684448742227
apple ipad pro 12.9 6th gen (wifi),ios,0.25327370159958096
apple ipad pro 12.9 6th gen (cellular),ios,0.25302523604227944
intel core i9-9900k @ 3.60ghz,desktop,0.25270961763165317
apple ipad pro 11.0 4th gen (wifi),ios,0.2496273016640477
intel core i5-12400f,desktop,0.24900949541346012
intel core i5-12400,desktop,0.24837825859220758
amd ryzen 5 5600g,desktop,0.2432007736008703
intel core i5-11600k @ 3.90ghz,desktop,0.23923875525471078
amd ryzen 5 5500,desktop,0.2389231368440845
"apple ipad pro 12.9 3nd gen (wifi, 6gb ram)",ios,0.2387485394254402
intel core i7-10700 @ 2.90ghz,desktop,0.23559907060451
intel core i7-10700f @ 2.90ghz,desktop,0.23238244893025506
amd ryzen 5 3600x,desktop,0.22472030836590245
amd ryzen 5 3600,desktop,0.2196636985105497
amd ryzen 7 2700x,desktop,0.21862282928401627
apple ipad air 5 (wifi),ios,0.21635306284164013
intel core i7-10875h @ 2.30ghz,laptop,0.21199484266086466
intel core i5-11400 @ 2.60ghz,desktop,0.21145761983426675
apple ipad pro 11.0 3rd gen (cellular),ios,0.21115543199430545
apple ipad pro 12.9 5th gen (wifi),ios,0.2109606887196637
apple ipad pro 11.0 3rd gen (wifi),ios,0.21065850087970237
intel core i5-11400f @ 2.60ghz,desktop,0.21045704231972817
apple ipad pro 12.9 5th gen (cellular),ios,0.2104234658930658
intel core i5-11400h @ 2.70ghz,laptop,0.20940945780786224
amd ryzen 5 5600h,laptop,0.20925500624521537
apple ipad air 5 (cellular),ios,0.20360745128060492
amd ryzen 7 2700,desktop,0.19445451737244315
intel core i5-10600k @ 4.10ghz,desktop,0.18956578965040224
samsung sm-s926u1,android,0.18920316424244865
samsung sm-s928b,android,0.18698040479739983
samsung sm-s928u1,android,0.18644989725613442
samsung sm-s928u,android,0.18638274440280966
nubia nx769j,android,0.18454947150704434
samsung sm-s926u,android,0.18383093597646963
amd ryzen 7 1700,desktop,0.18256846233396457
apple iphone 15 pro max,ios,0.18125898169413218
oneplus cph2581,android,0.18115825241414507
samsung sm-s921u,android,0.18013081375827658
samsung sm-s928w,android,0.17968088964100085
amd ryzen 5 2600x,desktop,0.17886162483043905
intel core i7-8700k @ 3.70ghz,desktop,0.17878775669178185
intel core i7-9700k @ 3.60ghz,desktop,0.17745813019595202
apple iphone 15 pro,ios,0.17682689337469948
samsung sm-s926b,android,0.17467128678297542
amd ryzen 7 4800h,laptop,0.17392589011107082
oneplus cph2583,android,0.17368413983910178
intel core i3-12100f,desktop,0.17320063929516366
intel core i7-8700 @ 3.20ghz,desktop,0.16991686476758397
amd ryzen 5 2600,desktop,0.16933935022899124
intel core i3-12100,desktop,0.16515572746686008
samsung sm-s921b,android,0.16488711605356113
intel core i7-9700 @ 3.00ghz,desktop,0.16236888405388344
xiaomi 23127pn0cg,android,0.1613078689713526
apple iphone 15 plus,ios,0.16077736143008717
intel core i5-10400 @ 2.90ghz,desktop,0.16062962515277274
intel core i5-10400f @ 2.90ghz,desktop,0.16044831244879595
apple iphone 15,ios,0.15976335334488362
intel core i7-10750h @ 2.60ghz,laptop,0.15919926937695583
apple iphone 14 pro,ios,0.158252414145077
