Country,Rank,Fixed downlink,Fixed uplink,Fixed latency,Fixed jitter,Mobile downlink,Mobile uplink,Mobile latency,Mobile jitter
Singapore,1,284.13,229.8,4.0,1.0,97.64,17.73,17.0,5.0
United Arab Emirates,2,276.02,134.85,5.0,1.0,296.0,26.25,19.0,5.0
Hong Kong (SAR),3,274.26,193.14,4.0,1.0,63.8,12.78,17.0,7.0
Chile,4,265.12,168.13,6.0,2.0,37.37,13.62,25.0,9.0
United States,5,254.01,31.37,13.0,3.0,129.26,10.24,29.0,9.0
Iceland,6,242.94,225.88,3.0,1.0,158.32,20.22,17.0,6.0
France,7,242.45,172.1,10.0,1.0,98.03,8.74,30.0,8.0
China,8,241.69,38.27,17.0,2.0,143.73,27.51,30.0,7.0
Monaco,9,238.07,158.62,4.0,1.0,,,,
Thailand,10,231.25,199.93,6.0,1.0,44.35,13.69,24.0,8.0
Denmark,11,224.14,130.63,7.0,1.0,145.75,19.27,19.0,5.0
Spain,12,217.3,158.31,11.0,2.0,47.49,11.28,34.0,8.0
Romania,13,214.13,140.57,5.0,1.0,60.76,15.51,23.0,8.0
Switzerland,14,205.06,92.51,7.0,2.0,92.67,20.07,19.0,7.0
Israel,15,199.2,76.26,6.0,1.0,42.62,9.23,24.0,9.0
Canada,16,198.22,52.3,11.0,3.0,103.58,13.18,23.0,6.0
Japan,17,196.59,104.38,12.0,1.0,47.89,8.92,37.0,10.0
Netherlands,18,192.77,82.71,9.0,2.0,135.52,19.8,22.0,6.0
Liechtenstein,19,189.37,185.37,3.0,1.0,,,,
Hungary,20,178.5,40.58,9.0,2.0,49.73,16.95,23.0,6.0
Portugal,21,173.57,94.57,7.0,1.0,89.72,14.08,22.0,6.0
Kuwait,22,170.83,29.88,17.0,8.0,228.64,23.73,18.0,7.0
Taiwan,23,169.67,89.62,5.0,1.0,82.12,15.07,19.0,5.0
New Zealand,24,166.38,93.35,7.0,2.0,67.86,10.77,31.0,8.0
South Korea,25,160.59,115.71,7.0,1.0,156.23,17.68,30.0,8.0
Macau (SAR),26,159.59,153.91,4.0,1.0,127.39,31.53,15.0,4.0
Brazil,27,158.57,93.59,5.0,2.0,56.28,12.85,25.0,8.0
Poland,28,156.45,47.38,9.0,2.0,59.5,12.19,25.0,8.0
Qatar,29,155.86,131.46,4.0,1.0,313.3,27.53,19.0,7.0
Sweden,30,155.03,101.04,7.0,1.0,101.56,17.02,23.0,5.0
Panama,31,151.14,14.91,10.0,4.0,20.37,13.13,20.0,9.0
Luxembourg,32,146.86,93.79,6.0,1.0,94.59,12.47,20.0,5.0
Jordan,33,141.82,117.79,4.0,1.0,25.57,15.23,18.0,8.0
Peru,34,137.58,86.84,7.0,2.0,18.56,12.67,24.0,10.0
Moldova,35,136.91,107.13,3.0,0.0,32.92,13.1,19.0,8.0
Colombia,36,135.17,45.88,10.0,4.0,19.4,12.56,30.0,11.0
Uruguay,37,134.24,32.71,6.0,2.0,68.1,13.8,23.0,8.0
Norway,38,132.44,102.39,6.0,1.0,121.2,17.92,26.0,6.0
Andorra,39,126.83,132.29,3.0,1.0,,,,
Lithuania,40,120.69,94.75,3.0,1.0,118.49,16.75,21.0,8.0
Trinidad and Tobago,41,118.26,49.87,9.0,2.0,31.76,10.96,23.0,7.0
Ireland,42,118.04,41.08,9.0,3.0,36.26,8.63,24.0,8.0
Finland,43,117.58,49.66,12.0,2.0,103.58,15.2,22.0,5.0
